date;category;value
01.12.2025;Всего;8419.71
01.12.2025;Непродовольственные товары;3158.7
01.12.2025;Общественное питание;416.83
01.12.2025;Продовольственные товары;3008.8
01.12.2025;Услуги;1835.37
01.11.2025;Всего;7304.96
01.11.2025;Непродовольственные товары;2736.61
01.11.2025;Общественное питание;377.23
01.11.2025;Продовольственные товары;2480.6
01.11.2025;Услуги;1710.53
01.10.2025;Всего;7472.95
01.10.2025;Непродовольственные товары;2850.9
01.10.2025;Общественное питание;398.32
01.10.2025;Продовольственные товары;2509.07
01.10.2025;Услуги;1714.65
01.09.2025;Всего;7268.31
01.09.2025;Непродовольственные товары;2757.34
01.09.2025;Общественное питание;388.58
01.09.2025;Продовольственные товары;2415.47
01.09.2025;Услуги;1706.91
01.08.2025;Всего;7443.73
01.08.2025;Непродовольственные товары;2841.06
01.08.2025;Общественное питание;376.66
01.08.2025;Продовольственные товары;2513.05
01.08.2025;Услуги;1712.97
01.07.2025;Всего;7218.31
01.07.2025;Непродовольственные товары;2668.37
01.07.2025;Общественное питание;355.27
01.07.2025;Продовольственные товары;2529.24
01.07.2025;Услуги;1665.44
01.06.2025;Всего;6979.02
01.06.2025;Непродовольственные товары;2543.53
01.06.2025;Общественное питание;344.81
01.06.2025;Продовольственные товары;2443.77
01.06.2025;Услуги;1646.91
01.05.2025;Всего;6937.42
01.05.2025;Непродовольственные товары;2495.87
01.05.2025;Общественное питание;351
01.05.2025;Продовольственные товары;2468.63
01.05.2025;Услуги;1621.92
01.04.2025;Всего;6827.21
01.04.2025;Непродовольственные товары;2465.88
01.04.2025;Общественное питание;336.93
01.04.2025;Продовольственные товары;2392.55
01.04.2025;Услуги;1631.85
01.03.2025;Всего;6880.55
01.03.2025;Непродовольственные товары;2523.52
01.03.2025;Общественное питание;328.27
01.03.2025;Продовольственные товары;2417.64
01.03.2025;Услуги;1611.13
01.02.2025;Всего;6428.13
01.02.2025;Непродовольственные товары;2328.83
01.02.2025;Общественное питание;308.23
01.02.2025;Продовольственные товары;2226.85
01.02.2025;Услуги;1564.23
01.01.2025;Всего;6403.08
01.01.2025;Непродовольственные товары;2357.72
01.01.2025;Общественное питание;299.97
01.01.2025;Продовольственные товары;2215.19
01.01.2025;Услуги;1530.19
01.12.2024;Всего;7602.34
01.12.2024;Непродовольственные товары;2891.12
01.12.2024;Общественное питание;345.65
01.12.2024;Продовольственные товары;2760.46
01.12.2024;Услуги;1605.11
01.11.2024;Всего;6606.26
